location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
2830,HOUSE,HOUSE,209000,2,138,1,0,0,0,,0,,54,3,0,TO_RENOVATE
4100,APARTMENT,APARTMENT,119000,1,50,1,0,0,0,,0,,,2,0,GOOD
6220,HOUSE,VILLA,175000,5,170,1,0,0,1,,1,,453,,0,TO_BE_DONE_UP
5100,HOUSE,HOUSE,265000,4,145,1,0,0,1,24,1,,160,3,0,GOOD
8400,APARTMENT,APARTMENT,299000,2,90,1,0,0,1,3,0,,,4,0,GOOD
3700,HOUSE,HOUSE,37200,1,,0,0,0,0,,0,,325,2,0,
7012,APARTMENT,APARTMENT,110000,3,184,0,0,0,1,,0,,,2,0,TO_RENOVATE
9700,APARTMENT,APARTMENT,285000,1,,1,0,0,0,,0,,,4,0,GOOD
2260,APARTMENT,APARTMENT,243000,2,113,1,0,0,1,21,1,128,,4,1,
3140,HOUSE,HOUSE,320000,2,,0,0,0,0,,0,,709,3,0,JUST_RENOVATED
3740,HOUSE,HOUSE,285000,3,191,1,0,0,0,,1,,729,4,0,
1435,APARTMENT,APARTMENT,203000,1,61,1,0,0,1,2,0,,,,0,GOOD
8790,APARTMENT,APARTMENT,499000,2,185,1,0,0,1,,0,,,2,0,AS_NEW
9840,APARTMENT,APARTMENT,345000,2,80,1,0,0,1,6,0,,,4,0,
7500,HOUSE,HOUSE,193500,2,140,1,0,1,1,5,0,,78,2,0,TO_BE_DONE_UP
8660,APARTMENT,APARTMENT,375000,2,74,1,0,0,1,,0,,,,0,AS_NEW
9220,APARTMENT,APARTMENT,244000,2,102,0,0,0,1,13,0,,,,0,
1200,APARTMENT,APARTMENT,495000,3,130,1,0,0,1,14,0,,,,0,
1970,APARTMENT,DUPLEX,553996,3,148,0,0,0,1,79,0,,,,0,
2220,APARTMENT,APARTMENT,349000,3,136,1,0,0,1,28,0,,,,0,AS_NEW
1180,APARTMENT,APARTMENT,380000,2,96,0,0,0,1,10,0,,,3,0,
1820,APARTMENT,APARTMENT,320000,2,125,0,0,0,1,,1,150,,,0,AS_NEW
8880,HOUSE,HOUSE,335000,5,218,1,0,0,1,,1,95,220,,0,AS_NEW
1410,HOUSE,HOUSE,495000,3,120,1,0,1,1,52,0,,600,4,0,GOOD
2880,APARTMENT,APARTMENT,290000,2,84,0,0,0,1,21,0,,,,0,
8540,APARTMENT,APARTMENT,217500,2,90,1,0,0,1,8,0,,,,0,
9600,HOUSE,MANSION,450000,10,,0,0,0,0,,0,,450,,0,TO_RENOVATE
5190,HOUSE,HOUSE,245000,3,125,1,0,1,0,,1,,393,4,0,
8770,APARTMENT,APARTMENT,205000,2,67,0,0,0,1,,0,,,,0,AS_NEW
7120,HOUSE,VILLA,385000,4,264,1,0,0,1,,0,,4100,4,0,TO_BE_DONE_UP
8300,APARTMENT,APARTMENT,1150000,3,189,1,0,0,0,,1,,,,0,
4000,APARTMENT,APARTMENT,199000,2,,0,0,0,1,,0,,,,0,
8300,APARTMENT,FLAT_STUDIO,450000,0,53,1,0,0,0,,0,,,,0,TO_BE_DONE_UP
7850,HOUSE,HOUSE,330000,4,290,1,0,0,1,,1,,900,2,0,TO_RENOVATE
1050,APARTMENT,APARTMENT,3370000,2,271,1,0,0,1,132,0,,,,0,AS_NEW
7110,HOUSE,HOUSE,185000,3,125,1,0,0,1,20,1,114,300,3,0,GOOD
6000,HOUSE,TOWN_HOUSE,150000,2,80,1,0,0,1,45,0,,0,2,0,TO_RENOVATE
2221,HOUSE,HOUSE,289000,3,140,1,0,0,1,,1,,1372,4,0,TO_BE_DONE_UP
1050,APARTMENT,APARTMENT,525000,2,110,0,0,0,1,3,0,,,2,0,
7700,HOUSE,HOUSE,90000,3,,0,0,0,1,,0,,296,3,0,TO_BE_DONE_UP
2275,HOUSE,HOUSE,635000,3,281,1,0,1,1,20,1,2159,2363,4,0,AS_NEW
1180,HOUSE,VILLA,1250000,6,330,1,0,1,1,60,1,1400,1560,4,0,TO_RENOVATE
2390,HOUSE,VILLA,1125000,4,508,1,0,0,0,,1,2500,3079,,1,GOOD
3090,HOUSE,VILLA,975000,4,350,1,0,0,1,30,0,,1944,4,0,AS_NEW
9900,APARTMENT,SERVICE_FLAT,227500,1,85,1,0,0,1,8,0,,,4,0,AS_NEW
9900,HOUSE,HOUSE,119000,3,,0,0,0,0,,1,6,66,,0,TO_RENOVATE
6870,HOUSE,BUNGALOW,215000,4,120,0,0,0,1,,1,1400,1558,4,0,GOOD
9040,HOUSE,HOUSE,261000,3,125,1,0,0,0,,0,,56,,0,
1700,HOUSE,HOUSE,297000,3,,0,0,0,0,,0,,255,,0,
4633,APARTMENT,APARTMENT,215000,1,77,1,0,0,1,,0,,,,0,
6870,HOUSE,HOUSE,289000,4,181,1,0,0,1,30,1,598,598,4,0,
8791,APARTMENT,APARTMENT,174712,1,70,1,0,0,1,2,0,,,,0,
6791,HOUSE,APARTMENT_BLOCK,420000,6,270,0,0,0,1,4,0,,113,,0,
8670,APARTMENT,APARTMENT,405000,2,116,0,0,0,0,,0,,,2,0,
1420,HOUSE,HOUSE,190000,2,98,0,0,0,1,12,0,,0,2,0,
1654,HOUSE,HOUSE,315000,3,271,0,0,0,0,,0,,349,4,0,
8400,APARTMENT,APARTMENT,129000,1,41,0,1,0,1,2,0,,,2,0,
3010,HOUSE,HOUSE,375000,3,233,1,0,0,1,27,0,,195,,0,GOOD
6041,APARTMENT,APARTMENT,211495,2,90,1,0,0,1,75,0,,,4,0,GOOD
3078,HOUSE,EXCEPTIONAL_PROPERTY,779500,4,288,1,0,0,1,30,1,130,439,3,0,AS_NEW
8755,HOUSE,EXCEPTIONAL_PROPERTY,825000,3,,1,0,0,1,,0,,6440,4,0,AS_NEW
6700,APARTMENT,DUPLEX,259000,2,,1,0,0,0,,0,,,2,0,GOOD
9700,APARTMENT,APARTMENT,268000,2,89,1,0,0,1,24,1,,,3,0,
8430,APARTMENT,FLAT_STUDIO,87500,1,39,1,0,0,0,,0,,,2,0,GOOD
4100,HOUSE,HOUSE,169500,3,122,1,0,0,0,,1,1,75,3,0,JUST_RENOVATED
8600,HOUSE,HOUSE,339000,4,170,1,0,0,0,,1,426,523,3,0,
2060,APARTMENT,APARTMENT,325000,3,136,1,0,0,1,15,0,,,2,0,GOOD
5020,HOUSE,HOUSE,355000,3,174,1,0,0,0,,0,,1504,3,0,AS_NEW
3020,HOUSE,HOUSE,409507,3,144,0,0,0,0,,0,,450,3,0,
8501,HOUSE,HOUSE,159000,3,,1,0,0,1,,0,,100,,0,AS_NEW
4800,HOUSE,MIXED_USE_BUILDING,228500,5,358,0,0,0,1,14,0,,228,3,0,TO_RENOVATE
2930,APARTMENT,APARTMENT,269000,2,,1,0,0,1,,0,,,4,0,AS_NEW
2610,APARTMENT,APARTMENT,253000,3,125,1,0,0,1,,0,,,,0,
2300,HOUSE,HOUSE,299000,3,260,1,0,0,0,,0,,1620,4,0,
5580,APARTMENT,PENTHOUSE,352500,3,162,1,0,0,1,33,0,,,,0,AS_NEW
1080,APARTMENT,APARTMENT,187000,1,50,1,0,0,1,30,0,,,1,0,JUST_RENOVATED
2870,APARTMENT,APARTMENT,279000,2,92,0,0,0,1,,1,,,,0,
6042,HOUSE,HOUSE,220000,3,148,1,0,0,1,12,1,150,218,3,0,JUST_RENOVATED
1050,APARTMENT,APARTMENT,695000,2,119,1,0,1,1,25,1,50,,2,0,AS_NEW
3800,APARTMENT,DUPLEX,277000,3,126,1,0,0,1,10,0,,,2,0,GOOD
1325,APARTMENT,DUPLEX,265000,2,93,1,0,0,1,12,0,,,4,0,
3018,HOUSE,HOUSE,390000,3,,1,0,1,1,,1,,464,4,0,AS_NEW
